Row,x_CO2,RuBP_ch,PGA_ch,ATP_ch,BPGA_ch,x_NADPH_ch,GAP_ch,Pi_ch,DHAP_ch,FBP_ch,F6P_ch,E4P_ch,X5P_ch,SBP_ch,S7P_ch,R5P_ch,Ru5P_ch,x_Pi_cyt,x_GAP_cyt,G6P_ch,x_NADP_ch,x_PGA_cyt,ADP_ch,x_DHAP_cyt,x_Proton_ch,G1P_ch,x_Starch_ch
x_CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuBP_ch,0,-402.856784134011,641.783641492146,81.9649633881151,0,0,0,0,0,0,0,0,0,0,0,0,81.9649633879379,0,0,0,0,0,-81.9649633881151,0,0,0,0
PGA_ch,0,-24.5870837620116,-248630406.49081,-248630356.488916,248630381.347992,0,0.671299874789046,9.54284515202894,14.3846898604862,0,0,0,0,0,0,0,28.6848065665803,0,0,0,0,0,248630356.488916,0,0,-3.825731260262,0
ATP_ch,0,21.8789784898531,-555100357.419162,-555100388.839167,555100357.419162,0,0,19.0820537437968,0,0,0,0,0,0,0,0,-21.8789784898531,0,0,0,0,0,555100388.839167,0,0,-9.54102687189127,0
BPGA_ch,0,0,3692318180.51732,3692318180.51732,-3692320818.11732,0,2637.60000002543,2637.60000002505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3692318180.51732,0,0,0,0
x_NADPH_ch,0,49.1702799914443,-98.3405599828885,0,-938.957443775169,0,938.957443775169,938.957443775034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAP_ch,0,0,64.1856066624414,0,5.14820175894342,0,-1268345251.12469,41.3950387175831,404159360.916676,95840687.0571198,-672039189.129473,672039189.129473,672504400.216727,0,-465211.087253749,465211.087253749,0,0,0,0,0,0,0,0,0,0,0
Pi_ch,0,-10.5206501491453,-0.00881077645809356,217.513338491106,0.0789613446705433,0,0.187540372192805,-242.349199599166,5.71062901742592,0.582555583105175,-0.582555583105175,0,0,0.0348943901633562,-0.0348943901633562,0,14.3452680310767,0,0,0,0,0,-217.513338491106,0,0,24.8671620995149,0
DHAP_ch,0,0,62.5006873830689,0,0,0,18370786.9280975,45.3214462612772,-270769385.206002,4356487.97923022,0,-243685514.49731,0,243685514.49731,0,0,0,0,0,0,0,0,0,0,0,0,0
FBP_ch,0,86.0547379462404,-172.109475892481,0.207577727927421,0,0,70422535.2112715,1748.88687257954,70422535.2112715,-70424284.5132995,1749.3020280363,0,0,0,0,0,0,0,0,0,0,0,-0.207577727927421,0,0,0.207577727927421,0
F6P_ch,0,0,0,0.207568293154674,0,0,-4356487.9792301,-10.3962450752357,0,9.98110848893168,-504356497.960339,4356487.9792301,4356487.9792301,0,0,0,0,0,0,500000000,0,0,-0.207568293154674,0,0,0.207568293154674,0
E4P_ch,0,0,0,0,0,0,12014299.9750693,0,-95840687.0571097,0,12014299.9750693,-107854987.032179,-12014299.9750693,95840687.0571097,0,0,0,0,0,0,0,0,0,0,0,0,0
X5P_ch,0,0,0,0,0,0,2903006640.3755,0,0,0,2901018029.73002,-2901018029.73002,-3403006640.3755,0,1988610.64547321,-1988610.64547321,500000000,0,0,0,0,0,0,0,0,0,0
SBP_ch,0,45.8747075374931,-91.7494150749863,0,0,0,0,0.360755368412646,38461538.4615376,0,0,38461538.4615376,0,-38461538.822293,0.360755368424348,0,0,0,0,0,0,0,0,0,0,0,0
S7P_ch,0,0,0,0,0,0,-4356487.97922971,0,0,0,0,0,4356487.9792297,0,-4356487.97922971,4356487.97922971,0,0,0,0,0,0,0,0,0,0,0
R5P_ch,0,0,0,0,0,0,1187295.52694815,0,0,0,0,0,-1187295.52694816,0,1187295.52694815,-501187295.526948,500000000,0,0,0,0,0,0,0,0,0,0
Ru5P_ch,0,86610.0137728433,0,-86610.0137728433,0,0,0,0,0,0,0,0,746268656.716411,0,0,1250000000,-1996355266.73018,0,0,0,0,0,86610.0137728433,0,0,0,0
x_Pi_cyt,0,0,-45.6476300057228,0,0,0,-1.59221140019439,81.3579278889763,-34.118086483052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_GAP_cyt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6P_ch,0,0,0,0,0,0,0,0,0,0,217391304.347843,0,0,0,0,0,0,0,0,-717391304.347843,0,0,0,0,0,500000000,0
x_NADP_ch,0,0,0,0,0.154676407430958,0,-0.154676407430958,-0.154676407528964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_PGA_cyt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP_ch,0,-70.1412017402803,120577029455.424,120577150357.903,-120577029455.424,0,0,-120832.494011372,0,0,0,0,0,0,0,0,70.1412017402803,0,0,0,0,0,-120577150357.903,0,0,0.155355119378973,0
x_DHAP_cyt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x_Proton_ch,0,0,0,0,-7849564.61762284,0,7849564.61762284,7849564.61762171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1P_ch,0,0,0,-27.9342030932218,0,0,0,98.9684510743424,0,0,0,0,0,0,0,0,0,0,0,8620689655.17192,0,0,27.9342030932218,0,0,-8620689726.20617,0
x_Starch_ch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
